lat,long,category,quantity,year
28.53632,77.2492,murder,0,2021
28.61268,77.086,murder,1,2021
28.52989,77.20418,murder,1,2021
28.64361,77.23608,murder,0,2021
28.70257,77.19369,murder,0,2021
28.65335,77.29373,murder,0,2021
28.66645,77.22618,murder,0,2021
28.53067,77.26532,murder,0,2021
28.6091,77.06618,murder,1,2021
28.56234,77.2676,murder,1,2021
28.52299,77.30617,murder,0,2021
28.7072,77.2242,murder,1,2021
28.72582,77.00361,murder,1,2021
28.66004,77.17376,murder,0,2021
28.59139,77.08644,murder,1,2021
28.71793,77.12757,murder,1,2021
28.57051,77.179,murder,0,2021
28.70236,77.1159,murder,0,2021
28.67441,77.13276,murder,0,2021
28.60369,77.01564,murder,1,2021
28.73664,77.19735,murder,0,2021
28.65284,77.23362,murder,1,2021
28.70984,77.17532,murder,1,2021
28.60337,77.19606,murder,0,2021
28.62038,77.30265,murder,1,2021
28.67965,77.08879,murder,1,2021
28.46549,77.15114,murder,0,2021
28.64981,77.21754,murder,0,2021
28.63969,77.11992,murder,1,2021
28.73358,77.17487,murder,1,2021
28.64295,77.22621,murder,0,2021
28.63089,77.22498,murder,1,2021
28.56934,77.20489,murder,0,2021
28.70024,77.20856,murder,0,2021
28.66879,77.29224,murder,0,2021
28.53321,77.25743,murder,0,2021
28.54728,77.25644,murder,0,2021
28.64784,77.18053,murder,0,2021
28.58744,77.24047,murder,0,2021
28.63077,77.14501,murder,0,2021
28.52678,77.27462,murder,0,2021
28.72516,77.14219,murder,0,2021
28.59572,76.91555,murder,1,2021
28.62657,77.12084,murder,1,2021
28.70965,77.06081,murder,0,2021
28.71003,77.10186,murder,0,2021
28.55914,77.24093,murder,1,2021
28.79903,77.13913,murder,0,2021
28.72579,77.16418,murder,0,2021
28.53492,77.15236,murder,0,2021
28.74286,77.16574,murder,1,2021
28.79654,77.04254,murder,1,2021
28.72449,77.05179,murder,0,2021
28.63356,77.13777,murder,0,2021
28.49893,77.21428,murder,0,2021
